id,neighborhood,sq_m,rooms,bathrooms,floors,sq_m_allotment,floor,neighborhood_id,price,house_type_id,is_renewal_needed,has_ac,has_fitted_wardrobes,has_lift,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,has_green_zones,has_parking,parking_included,parking_price,orientation_north,orientation_west,orientation_south,orientation_east,house_type,district_id,district
21707,San Andres,71.0,3,1,0,0.0,1,134,131400.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21706,Villaverde,87.0,3,1,0,0.0,2,133,96000.0,1.0,True,True,False,False,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21705,San Andres,60.0,2,1,0,0.0,1,134,154000.0,1.0,False,True,True,False,False,False,True,False,False,False,False,False,0.0,False,False,True,False,Apartment,21,Villaverde
21704,Los Angeles,78.0,4,1,0,0.0,2,132,146700.0,1.0,False,False,True,True,False,False,False,False,False,False,False,False,0.0,False,False,True,False,Apartment,21,Villaverde
21703,Los Rosales,52.0,1,1,0,0.0,1,133,92500.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21702,Butarque,125.0,3,3,0,0.0,7,131,275000.0,2.0,False,True,False,True,False,True,True,False,True,False,False,False,0.0,False,False,False,False,Duplex,21,Villaverde
21701,San Andres,75.0,0,1,0,0.0,1,134,83800.0,1.0,False,True,True,True,False,False,True,True,False,False,False,False,0.0,True,True,True,True,Apartment,21,Villaverde
21700,Butarque,97.0,2,2,0,0.0,0,131,266122.0,1.0,False,False,False,True,False,True,True,False,False,True,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21699,Butarque,93.0,2,2,0,0.0,7,131,228273.0,1.0,False,False,False,True,False,True,True,False,False,True,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21698,Los Angeles,103.0,4,2,0,0.0,1,132,171900.0,1.0,False,False,False,True,False,False,False,False,True,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21697,Butarque,83.0,2,2,0,0.0,7,131,228273.0,3.0,False,True,True,True,False,True,True,False,True,True,True,True,0.0,False,False,False,False,Penthouse,21,Villaverde
21696,Los Rosales,45.0,2,1,0,0.0,1,133,85000.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21695,Los Rosales,120.0,3,2,0,0.0,7,133,298000.0,1.0,False,True,True,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21694,Los Angeles,74.0,3,1,0,0.0,1,132,139000.0,1.0,False,False,True,False,False,False,False,False,True,False,False,False,0.0,False,False,True,False,Apartment,21,Villaverde
21693,Butarque,125.0,3,2,0,0.0,7,131,272500.0,2.0,False,False,True,True,False,True,True,False,True,True,False,False,0.0,False,False,False,False,Duplex,21,Villaverde
21692,Butarque,126.0,4,2,0,0.0,0,131,275000.0,1.0,False,True,True,True,False,True,True,False,True,True,True,True,0.0,False,False,True,True,Apartment,21,Villaverde
21691,Butarque,158.0,3,2,0,0.0,4,131,289000.0,3.0,False,True,True,True,False,True,True,False,True,True,True,True,0.0,False,False,False,False,Penthouse,21,Villaverde
21690,Villaverde,65.0,2,1,0,0.0,1,133,115000.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21689,Los Angeles,108.0,3,2,0,0.0,4,132,179000.0,1.0,False,False,True,True,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21688,Villaverde,62.0,2,1,0,0.0,0,134,123000.0,1.0,False,True,False,True,False,False,False,False,False,False,False,False,0.0,True,False,False,False,Apartment,21,Villaverde
21687,Los Rosales,51.0,2,1,0,0.0,3,133,89500.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,0.0,False,False,False,True,Apartment,21,Villaverde
21686,Butarque,112.0,3,2,0,0.0,3,131,289000.0,1.0,False,True,True,True,False,True,False,False,True,True,True,True,0.0,False,False,True,False,Apartment,21,Villaverde
21685,Butarque,109.0,3,2,0,0.0,2,131,216278.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
